"river","right_top","right_bottom","left_top","left_bottom","id","banded_on"
"obere Spöl","alu","yellow","yellow","black","S228.001","2025-04-10"
"obere Spöl","red","white","green","alu","S228.002","2025-04-10"
"obere Spöl","alu","green","black","violet","S228.003","2025-04-11"
"obere Spöl","alu","black","black","red","S228.004","2025-04-14"
"obere Spöl","alu","blue","yellow","green","S228.005","2025-04-14"
"obere Spöl","green","yellow","alu","red","S228.006","2025-04-14"
"obere Spöl","red","alu","green","red","S228.007","2025-04-14"
"obere Spöl","blue","white","alu","white","S228.008","2025-04-14"
"obere Spöl","alu","yellow","green","violet","S228.009","2025-05-01"
"obere Spöl","white","black","red","alu","S228.010","2025-05-01"
"obere Spöl","green","alu","yellow","white","S228.011","2025-05-01"
"obere Spöl","alu","black","yellow","black","S228.012","2025-05-02"
NULL,"alu","red","yellow","green","S228.013","2025-05-12"
"obere Spöl","alu","pink","yellow","pink","S228.014","2025-05-12"
"obere Spöl","alu","pink","yellow","red","S228.015","2025-05-12"
"obere Spöl","alu","pink","yellow","white","S228.016","2025-05-12"
"obere Spöl","alu","pink","yellow","green","S228.017","2025-05-12"
"obere Spöl","alu","yellow","yellow","red","S228.018","2025-05-23"
"obere Spöl","alu","red","yellow","blue","S228.019","2025-05-23"
"obere Spöl","alu","violet","yellow","white","S228.020","2025-05-23"
"Ova dal Fuorn","white","alu","red","violet","S228.021","2025-05-27"
"Ova dal Fuorn","alu","blue","green","white","S228.022","2025-05-27"
"Ova dal Fuorn","black","yellow","alu","green","S228.023","2025-05-27"
"Ova dal Fuorn","black","yellow","alu","blue","S228.024","2025-05-27"
"Ova dal Fuorn","green","black","alu","red","S228.026","2025-05-27"
"obere Spöl","alu","blue","black","yellow","S228.027","2025-10-31"
"obere Spöl","white","red","alu","white","S228.028","2025-10-31"
"obere Spöl","white","yellow","alu","pink","S228.029","2025-10-31"
"obere Spöl","white","green","alu","black","S228.030","2025-10-31"
"obere Spöl","green","blue","alu","blue","S228.031","2025-10-31"
"obere Spöl","white","red","black","alu","S228.032","2025-10-31"
"obere Spöl","pink","alu","white","violet","S228.033","2025-11-06"
"obere Spöl","blue","alu","blue","pink","S228.034","2025-11-06"
"obere Spöl","black","alu","pink","yellow","S228.035","2025-11-06"
"obere Spöl","yellow","alu","violet","pink","S228.036","2025-11-07"
"obere Spöl","violet","alu","violet","blue","S228.037","2025-11-07"
"obere Spöl","pink","violet","blue","alu","S228.038","2025-11-12"
"obere Spöl","red","alu","red","white","S228.039","2025-11-12"
